2023-58-24 01:58:41
N_eng	k_pcs	k_tank	mu_sa	k_extra	eta_pcs	k_sa	m_platform	m_eng	m_engines	m_fsts	m_pcs	m_sa	m_saos	m_eos	m0	m_f_main	m_f_extra	m_fuel	p_platform	p_eng	p_engines	p_burt_0	p_burt	p_fsts_0	p_fsts	p_pcs	p_saos	p_eos	p_sa	p0	RE	RL	mu0	mu1	h0	h1	R0	R1	J	Vgis	F	track	dt0	eta	m0_iter_cnt	eng_name	platform_name
9	0.007	0.1	0.014	0.05	0.1	1.1	140	1.5	13.5	26.8570804996154	4.221	108.6162	10	10	581.765089264903	255.781719043956	12.7890859521978	268.570804996154	250	670	6030	10	50	20	100	603	10	10	7758.3	7053	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1470	0	0.039	TrackNS.Track	100	0.439664950275982	5	СПД-70	Карат
10	0.007	0.1	0.014	0.05	0.1	1.1	140	1.5	15	28.0402368552928	4.69	119.966	10	10	608.098613680626	267.049874812312	13.3524937406156	280.402368552928	250	670	6700	10	50	20	100	670	10	10	8569	7790	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1470	0	0.039	TrackNS.Track	100	0.439155539585833	5	СПД-70	Карат
1	0.007	0.1	0.014	0.05	0.1	1.1	140	2.6	2.6	18.4619304639552	0.42	14.784	10	10	380.885233478448	175.827909180526	8.79139545902629	184.619304639552	250	600	600	10	10	20	20	60	10	10	1056	960	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1430	0	0.036	TrackNS.Track	100	0.461629629415588	6	СПД-70М(1)	Карат
2	0.007	0.1	0.014	0.05	0.1	1.1	140	2.6	5.2	19.464111638815	0.84	24.948	10	10	405.093254269904	185.372491798238	9.26862458991192	194.64111638815	250	600	1200	10	10	20	20	120	10	10	1782	1620	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1430	0	0.036	TrackNS.Track	100	0.4576044894461	5	СПД-70М(1)	Карат
3	0.007	0.1	0.014	0.05	0.1	1.1	140	2.6	7.8	20.631926832435	1.26	35.574	10	10	431.585220384974	196.494541261286	9.82472706306428	206.31926832435	250	600	1800	10	20	20	40	180	10	10	2541	2310	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1430	0	0.036	TrackNS.Track	100	0.455285612157925	5	СПД-70М(1)	Карат
4	0.007	0.1	0.014	0.05	0.1	1.1	140	2.6	10.4	21.7955002626608	1.68	45.738	10	10	457.568512924833	207.576192977722	10.3788096488861	217.955002626608	250	600	2400	10	20	20	40	240	10	10	3267	2970	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1430	0	0.036	TrackNS.Track	100	0.453650518150539	5	СПД-70М(1)	Карат
5	0.007	0.1	0.014	0.05	0.1	1.1	140	2.6	13	23.0298746470319	2.1	56.364	10	10	484.792634700594	219.332139495542	10.9666069747771	230.298746470319	250	600	3000	10	30	20	60	300	10	10	4026	3660	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1430	0	0.036	TrackNS.Track	100	0.452424652926092	5	СПД-70М(1)	Карат
6	0.007	0.1	0.014	0.05	0.1	1.1	140	2.6	15.6	24.2306369854669	2.52	66.528	10	10	511.185012237094	230.767971290161	11.5383985645081	242.306369854669	250	600	3600	10	30	20	60	360	10	10	4752	4320	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1430	0	0.036	TrackNS.Track	100	0.451437279587392	5	СПД-70М(1)	Карат
7	0.007	0.1	0.014	0.05	0.1	1.1	140	2.6	18.2	25.4877443011219	2.94	77.154	10	10	538.659193663871	242.740421915447	12.1370210957723	254.877443011219	250	600	4200	10	40	20	80	420	10	10	5511	5010	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1430	0	0.036	TrackNS.Track	100	0.45063822314879	5	СПД-70М(1)	Карат
8	0.007	0.1	0.014	0.05	0.1	1.1	140	2.6	20.8	26.7041171111696	3.36	87.318	10	10	565.223296327502	254.324924868282	12.7162462434141	267.041171111696	250	600	4800	10	40	20	80	480	10	10	6237	5670	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1430	0	0.036	TrackNS.Track	100	0.449954781624785	5	СПД-70М(1)	Карат
